Designator,Mid X,Mid Y,Rotation,Layer
C1,135.90397,-78.55204,270.0,top
C10,142.56161,-107.77982,0.0,top
C11,142.56258,-104.58069,0.0,top
C12,129.615,-80.15,180.0,top
C13,126.57963,-85.8774,90.0,top
C14,126.53264,-81.88833,90.0,top
C15,114.05108,-96.94164,180.0,top
C16,116.67617,-73.152,225.0,top
C17,147.08632,-78.16596,0.0,top
C18,147.02917,-97.84588,0.0,top
C2,138.06424,-81.40319,180.0,top
C3,142.66545,-79.56423,0.0,top
C4,142.45971,-77.8002,0.0,top
C6,111.19,-88.095,90.0,bottom
C7,110.265,-91.61,0.0,bottom
C8,145.215,-76.31,0.0,top
C9,144.89049,-107.31246,90.0,top
D1,131.22,-77.6,180.0,top
D2,114.63655,-100.28682,135.0,top
D3,115.48872,-71.85533,225.0,top
D4,148.26107,-74.94397,270.0,top
D5,147.02409,-100.51034,45.0,top
J1,151.265,-95.45,270.0,top
J2,113.507995,-104.594148,315.0,top
J4,148.744505,-103.428388,45.0,top
J5,112.608872,-69.298025,225.0,top
J6,148.305045,-68.354452,135.0,top
J8,118.35892,-93.66377,0.0,top
J9,143.30299,-93.69171,0.0,top
LED1,144.75841,-64.88684,0.0,top
LED4,109.48162,-89.18353,90.0,top
LED5,109.51464,-86.09997,90.0,top
LED6,109.49559,-82.41284,90.0,top
LED7,109.61,-85.0625,270.0,bottom
LED8,151.84,-87.2275,270.0,bottom
R1,138.07313,-82.91957,0.0,top
R10,142.585,-106.16,180.0,top
R11,121.71426,-87.2363,180.0,top
R12,135.97763,-85.09635,0.0,top
R13,133.375,-80.32,180.0,top
R14,135.97763,-86.63432,0.0,top
R15,111.07,-89.225,270.0,top
R16,111.08055,-86.05393,270.0,top
R17,111.07293,-82.423,270.0,top
R18,110.34522,-94.88805,0.0,top
R19,111.20628,-78.38694,180.0,top
R2,119.68,-74.315,270.0,top
R20,150.895,-78.02,180.0,top
R21,147.84451,-91.82989,0.0,top
R3,110.245,-93.14,180.0,bottom
R30,109.58,-88.155,270.0,bottom
R31,151.81,-90.22,270.0,bottom
R4,110.315,-99.89,180.0,bottom
R5,112.62,-99.075,90.0,bottom
R6,110.305,-98.34,180.0,bottom
SW1,151.51,-85.31,90.0,top
T1,110.41126,-97.77222,270.0,top
T2,111.32947,-75.59294,90.0,top
T3,151.14,-75.23,90.0,top
T4,147.80768,-94.79661,270.0,top
U1,110.8,-95.655,0.0,bottom
U2,131.73,-69.66,90.0,top
U3,138.85037,-78.7654,180.0,top
U4,143.63573,-82.85607,180.0,top
U5,143.63573,-84.37626,0.0,top
U8,130.92811,-99.10145,180.0,top
U9,130.96094,-83.93542,180.0,top
